fiss,k,leap,score
50,20,0,0.0814
50,20,15,0.3893
50,20,30,0.3728
50,60,0,0.0444
50,60,15,0.1442
50,60,30,0.1316
50,100,0,0.0575
50,100,15,0.1444
50,100,30,0.1317
100,20,0,0.0
100,20,15,0.0506
100,20,30,0.3152
100,60,0,0.0824
100,60,15,0.3266
100,60,30,0.1588
100,100,0,0.0835
100,100,15,0.1748
100,100,30,0.1389
150,20,0,0.0
150,20,15,0.0
150,20,30,0.0
150,60,0,0.0503
150,60,15,0.3014
150,60,30,0.4356
150,100,0,0.0633
150,100,15,0.2704
150,100,30,0.1442

Cult: tupi | Start: 2500 | Site: bvista | Veg: 0.0
