fiss,k,leap,score,dates
50,10,15,0.2308,4
70,20,10,0.2373,3
80,20,10,0.0981,3
80,20,15,0.1521,3
90,20,15,0.3631,3
120,30,15,0.0344,3
130,30,15,0.1815,3
130,40,10,0.0707,3
140,30,10,0.1053,3
140,30,15,0.2801,3
140,40,10,0.2157,3
150,40,5,0.0266,3
150,40,10,0.2123,3
150,50,10,0.2407,3
50,20,0,0.1994,2
60,20,5,0.1823,2
60,20,10,0.2906,2
60,30,0,0.2777,2
60,30,5,0.2461,2
70,30,0,0.2777,2
70,30,5,0.214,2
70,50,0,0.0186,2
80,30,0,0.1982,2
80,30,5,0.2775,2
80,40,0,0.1675,2
80,40,5,0.187,2
90,20,10,0.1216,2
90,30,10,0.1672,2
90,40,0,0.2751,2
90,40,5,0.2065,2
100,20,15,0.0309,2
100,30,10,0.2493,2
100,40,0,0.2215,2
100,40,5,0.2838,2
100,50,0,0.2406,2
100,50,5,0.1307,2
110,20,15,0.0151,2
110,30,5,0.0468,2
110,30,10,0.22,2
110,40,0,0.2218,2
110,40,5,0.2168,2
110,50,0,0.1951,2
110,60,0,0.0215,2
120,30,10,0.2875,2
120,40,0,0.1564,2
120,40,5,0.1996,2
120,40,10,0.0367,2
120,50,0,0.2002,2
120,50,5,0.2057,2
120,60,0,0.1706,2
120,60,5,0.0786,2
130,30,10,0.1253,2
130,40,0,0.167,2
130,40,5,0.2427,2
130,50,0,0.1555,2
130,50,5,0.1761,2
130,60,0,0.2149,2
130,60,5,0.0766,2
140,40,5,0.1154,2
140,50,0,0.2584,2
140,50,5,0.1193,2
140,60,0,0.2134,2
140,60,5,0.1811,2
140,70,0,0.2131,2
140,70,5,0.2235,2
150,30,15,0.0585,2
150,50,0,0.1993,2
150,50,5,0.1965,2
150,60,0,0.2763,2
150,60,5,0.2037,2
150,70,0,0.2059,2
150,70,5,0.214,2
50,10,5,0.0155,1
50,10,10,0.013,1
50,20,5,0.1906,1
50,20,10,0.1919,1
50,20,15,0.1989,1
50,30,0,0.0166,1
60,10,5,0.0319,1
60,20,0,0.0001,1
60,20,15,0.1979,1
60,30,10,0.0451,1
60,30,15,0.1993,1
60,40,0,0.003,1
70,20,0,0.0321,1
70,20,5,0.0269,1
70,20,15,0.177,1
70,30,10,0.0578,1
70,30,15,0.1973,1
70,40,0,0.191,1
80,20,0,0.0097,1
80,20,5,0,1
80,30,10,0.0963,1
80,30,15,0.1767,1
80,40,10,0.0451,1
80,40,15,0.1778,1
80,50,0,0.0022,1
90,20,0,0.006,1
90,20,5,0.008,1
90,30,0,0.004,1
90,30,5,0.0424,1
90,30,15,0.0869,1
90,40,10,0.1974,1
90,40,15,0.1895,1
90,60,0,0.0005,1
100,20,0,0.1699,1
100,20,5,0.1289,1
100,20,10,0.1083,1
100,30,0,0.0223,1
100,30,5,0.0056,1
100,30,15,0.1765,1
100,40,10,0.0574,1
100,40,15,0.1523,1
100,50,10,0.0511,1
100,50,15,0.1989,1
100,60,0,0.0023,1
100,70,0,0.001,1
100,90,0,0.0402,1
110,20,0,0.008,1
110,20,5,0.0193,1
110,20,10,0.0773,1
110,30,0,0.0435,1
110,30,15,0.1778,1
110,40,10,0.0564,1
110,40,15,0.1521,1
110,50,5,0.1897,1
110,50,10,0.1673,1
110,50,15,0.1974,1
110,70,0,0.0012,1
120,20,10,0.1987,1
120,20,15,0.1083,1
120,30,5,0.0393,1
120,40,15,0.1989,1
120,50,10,0.1521,1
120,50,15,0.1971,1
120,60,10,0.1717,1
120,60,15,0.1895,1
120,70,0,0.0007,1
130,20,5,0.0003,1
130,30,0,0.0071,1
130,30,5,0.0155,1
130,40,15,0.199,1
130,50,10,0.059,1
130,50,15,0.1989,1
130,60,10,0.1765,1
130,60,15,0.1952,1
130,70,0,0.0258,1
130,80,0,0.002,1
140,20,15,0.1847,1
140,30,0,0.004,1
140,30,5,0.0155,1
140,40,0,0.0005,1
140,40,15,0.1971,1
140,50,10,0.0479,1
140,50,15,0.177,1
140,60,10,0.1989,1
140,60,15,0.1981,1
140,70,10,0.0511,1
140,70,15,0.1765,1
140,80,0,0.0084,1
140,90,0,0.0011,1
150,30,0,0.003,1
150,30,5,0.1049,1
150,30,10,0.0047,1
150,40,0,0.0018,1
150,40,15,0.1673,1
150,50,15,0.1538,1
150,60,10,0.0592,1
150,60,15,0.1971,1
150,70,10,0.1919,1
150,70,15,0.1962,1
150,80,0,0.1565,1
150,90,0,0.0079,1
150,100,0,0.0155,1
50,10,0,0,0
50,30,5,0,0
50,30,10,0,0
50,30,15,0,0
50,40,0,0,0
50,40,5,0,0
50,40,10,0,0
50,40,15,0,0
60,10,0,0,0
60,10,10,0,0
60,10,15,0,0
60,40,5,0,0
60,40,10,0,0
60,40,15,0,0
60,50,0,0,0
60,50,5,0,0
60,50,10,0,0
60,50,15,0,0
70,10,0,0,0
70,10,5,0,0
70,10,10,0,0
70,10,15,0,0
70,40,5,0,0
70,40,10,0,0
70,40,15,0,0
70,50,5,0,0
70,50,10,0,0
70,50,15,0,0
70,60,0,0,0
70,60,5,0,0
70,60,10,0,0
70,60,15,0,0
80,10,0,0,0
80,10,5,0,0
80,10,10,0,0
80,10,15,0,0
80,50,5,0,0
80,50,10,0,0
80,50,15,0,0
80,60,0,0,0
80,60,5,0,0
80,60,10,0,0
80,60,15,0,0
80,70,0,0,0
80,70,5,0,0
80,70,10,0,0
80,70,15,0,0
90,10,0,0,0
90,10,5,0,0
90,10,10,0,0
90,10,15,0,0
90,50,0,0,0
90,50,5,0,0
90,50,10,0,0
90,50,15,0,0
90,60,5,0,0
90,60,10,0,0
90,60,15,0,0
90,70,0,0,0
90,70,5,0,0
90,70,10,0,0
90,70,15,0,0
90,80,0,0,0
90,80,5,0,0
90,80,10,0,0
90,80,15,0,0
100,10,0,0,0
100,10,5,0,0
100,10,10,0,0
100,10,15,0,0
100,60,5,0,0
100,60,10,0,0
100,60,15,0,0
100,70,5,0,0
100,70,10,0,0
100,70,15,0,0
100,80,0,0,0
100,80,5,0,0
100,80,10,0,0
100,80,15,0,0
100,90,5,0,0
100,90,10,0,0
100,90,15,0,0
110,10,0,0,0
110,10,5,0,0
110,10,10,0,0
110,10,15,0,0
110,60,5,0,0
110,60,10,0,0
110,60,15,0,0
110,70,5,0,0
110,70,10,0,0
110,70,15,0,0
110,80,0,0,0
110,80,5,0,0
110,80,10,0,0
110,80,15,0,0
110,90,0,0,0
110,90,5,0,0
110,90,10,0,0
110,90,15,0,0
110,100,0,0,0
110,100,5,0,0
110,100,10,0,0
110,100,15,0,0
120,10,0,0,0
120,10,5,0,0
120,10,10,0,0
120,10,15,0,0
120,20,0,0,0
120,20,5,0,0
120,30,0,0,0
120,70,5,0,0
120,70,10,0,0
120,70,15,0,0
120,80,0,0,0
120,80,5,0,0
120,80,10,0,0
120,80,15,0,0
120,90,0,0,0
120,90,5,0,0
120,90,10,0,0
120,90,15,0,0
120,100,0,0,0
120,100,5,0,0
120,100,10,0,0
120,100,15,0,0
130,10,0,0,0
130,10,5,0,0
130,10,10,0,0
130,10,15,0,0
130,20,0,0,0
130,20,10,0,0
130,20,15,0,0
130,70,5,0,0
130,70,10,0,0
130,70,15,0,0
130,80,5,0,0
130,80,10,0,0
130,80,15,0,0
130,90,0,0,0
130,90,5,0,0
130,90,10,0,0
130,90,15,0,0
130,100,0,0,0
130,100,5,0,0
130,100,10,0,0
130,100,15,0,0
140,10,0,0,0
140,10,5,0,0
140,10,10,0,0
140,10,15,0,0
140,20,0,0,0
140,20,5,0,0
140,20,10,0,0
140,80,5,0,0
140,80,10,0,0
140,80,15,0,0
140,90,5,0,0
140,90,10,0,0
140,90,15,0,0
140,100,0,0,0
140,100,5,0,0
140,100,10,0,0
140,100,15,0,0
150,10,0,0,0
150,10,5,0,0
150,10,10,0,0
150,10,15,0,0
150,20,0,0,0
150,20,5,0,0
150,20,10,0,0
150,20,15,0,0
150,80,5,0,0
150,80,10,0,0
150,80,15,0,0
150,90,5,0,0
150,90,10,0,0
150,90,15,0,0
150,100,5,0,0
150,100,10,0,0
150,100,15,0,0
,,,,
Cult: tupi | Start: 4400 | Site: encontro | Veg: 0.5,,,,
