veg,fiss,r,k,leap,score,dates
-1,150,0.02,50,10,0.1529,4
0.4,150,0.02,50,5,0.1253,4
0.4,150,0.02,50,10,0.0505,4
0.4,50,0.03,10,0,0.2084,3
0.5,50,0.04,10,0,0.1678,3
0.5,150,0.02,50,15,0.1502,3
0.4,100,0.02,50,0,0.1282,3
0.4,50,0.03,10,5,0.1056,3
0.4,150,0.02,50,0,0.1025,3
0.5,50,0.03,10,15,0.096,3
0.4,100,0.02,50,5,0.0896,3
0.5,100,0.04,50,10,0.0446,3
0.5,150,0.04,50,15,0.0169,3
0.5,100,0.03,50,15,0.0164,3
0.5,150,0.03,50,5,0.0142,3
-1,50,0.03,10,0,0.2464,2
-1,50,0.03,10,5,0.2441,2
-1,50,0.03,10,10,0.1021,2
-1,50,0.04,10,15,0.0232,2
-1,100,0.02,50,0,0.1177,2
-1,100,0.02,50,5,0.1456,2
-1,150,0.02,50,0,0.0394,2
-1,150,0.02,50,5,0.0514,2
-1,150,0.02,50,15,0.1329,2
-1,150,0.03,50,15,0.0807,2
-1,150,0.03,100,0,0.011,2
-1,150,0.04,50,0,0.0196,2
0.4,50,0.02,10,0,0.097,2
0.4,50,0.02,10,15,0.0548,2
0.4,50,0.03,10,10,0.1915,2
0.4,100,0.03,50,10,0.0717,2
0.4,100,0.04,50,0,0.0156,2
0.4,100,0.04,50,5,0.0749,2
0.4,150,0.02,50,15,0.0676,2
0.4,150,0.02,100,10,0.115,2
0.4,150,0.03,50,15,0.019,2
0.5,50,0.03,10,0,0.0028,2
0.5,50,0.04,10,5,0.1735,2
0.5,50,0.04,10,10,0.2377,2
0.5,100,0.02,50,0,0.0123,2
0.5,100,0.02,50,10,0.0549,2
0.5,100,0.03,50,5,0.1862,2
0.5,100,0.03,50,10,0.0216,2
0.5,100,0.04,50,5,0.0237,2
0.5,150,0.02,50,5,0.0903,2
0.5,150,0.02,50,10,0.0162,2
0.5,150,0.02,100,0,0.1236,2
0.5,150,0.02,100,5,0.1657,2
0.5,150,0.02,100,15,0.104,2
0.5,150,0.03,50,0,0.1056,2
0.5,150,0.03,50,10,0.0981,2
0.5,150,0.03,100,0,0.0939,2
0.5,150,0.04,50,0,0.1198,2
0.5,150,0.04,50,10,0.0143,2
0.5,150,0.04,100,0,0.0212,2
0.5,150,0.04,100,5,0.0139,2
0.6,100,0.04,50,10,0.1081,2
0.6,150,0.03,100,10,0.2099,2
0.6,150,0.03,100,15,0.0603,2
0.6,150,0.04,50,15,0.1144,2
0.6,150,0.04,100,10,0.067,2
-1,50,0.02,10,0,0.0927,1
-1,50,0.02,10,5,0.0638,1
-1,50,0.02,10,10,0.0479,1
-1,50,0.02,10,15,0.1098,1
-1,50,0.03,10,15,0.0642,1
-1,50,0.04,10,0,0.0187,1
-1,50,0.04,10,5,0.0077,1
-1,50,0.04,10,10,0.0034,1
-1,100,0.02,50,10,0.1006,1
-1,100,0.02,50,15,0.0177,1
-1,100,0.03,50,0,0.0247,1
-1,100,0.03,50,5,0.0168,1
-1,100,0.03,50,10,0.0708,1
-1,100,0.03,50,15,0.0866,1
