veg,max,fiss,r,k,leap,perm,score
0.0,0.0,50,0.02,10,0,10,662
0.0,0.0,50,0.02,10,0,20,729
0.0,0.0,50,0.02,10,0,30,836
0.0,0.0,50,0.02,10,5,10,641
0.0,0.0,50,0.02,10,5,20,712
0.0,0.0,50,0.02,10,5,30,862
0.0,0.0,50,0.02,10,15,10,563
0.0,0.0,50,0.02,10,15,20,596
0.0,0.0,50,0.02,10,15,30,644
0.0,0.0,50,0.03,10,0,10,830
0.0,0.0,50,0.03,10,0,20,599
0.0,0.0,50,0.03,10,0,30,583
0.0,0.0,50,0.03,10,5,10,826
0.0,0.0,50,0.03,10,5,20,596
0.0,0.0,50,0.03,10,5,30,558
0.0,0.0,50,0.03,10,15,10,962
0.0,0.0,50,0.03,10,15,20,819
0.0,0.0,50,0.03,10,15,30,789
0.0,0.0,50,0.04,10,0,10,1169
0.0,0.0,50,0.04,10,0,20,782
0.0,0.0,50,0.04,10,0,30,615
0.0,0.0,50,0.04,10,5,10,1196
0.0,0.0,50,0.04,10,5,20,808
0.0,0.0,50,0.04,10,5,30,639
0.0,0.0,50,0.04,10,15,10,1330
0.0,0.0,50,0.04,10,15,20,1268
0.0,0.0,50,0.04,10,15,30,1204
0.0,0.0,100,0.02,10,0,10,1674
0.0,0.0,100,0.02,10,0,20,1674
0.0,0.0,100,0.02,10,0,30,1674
0.0,0.0,100,0.02,10,5,10,1674
0.0,0.0,100,0.02,10,5,20,1674
0.0,0.0,100,0.02,10,5,30,1674
0.0,0.0,100,0.02,10,15,10,1674
0.0,0.0,100,0.02,10,15,20,1674
0.0,0.0,100,0.02,10,15,30,1674
0.0,0.0,100,0.02,50,0,10,751
0.0,0.0,100,0.02,50,0,20,474
0.0,0.0,100,0.02,50,0,30,520
0.0,0.0,100,0.02,50,5,10,787
0.0,0.0,100,0.02,50,5,20,488
0.0,0.0,100,0.02,50,5,30,483
0.0,0.0,100,0.02,50,15,10,1215
0.0,0.0,100,0.02,50,15,20,1099
0.0,0.0,100,0.02,50,15,30,1041
0.0,0.0,100,0.03,10,0,10,1674
0.0,0.0,100,0.03,10,0,20,1674
0.0,0.0,100,0.03,10,0,30,1674
0.0,0.0,100,0.03,10,5,10,1674
0.0,0.0,100,0.03,10,5,20,1674
0.0,0.0,100,0.03,10,5,30,1674
0.0,0.0,100,0.03,10,15,10,1674
0.0,0.0,100,0.03,10,15,20,1674
0.0,0.0,100,0.03,10,15,30,1674
0.0,0.0,100,0.03,50,0,10,1221
0.0,0.0,100,0.03,50,0,20,912
0.0,0.0,100,0.03,50,0,30,504
0.0,0.0,100,0.03,50,5,10,1251
0.0,0.0,100,0.03,50,5,20,994
0.0,0.0,100,0.03,50,5,30,666
0.0,0.0,100,0.03,50,15,10,1652
0.0,0.0,100,0.03,50,15,20,1594
