fiss,k,leap,score,dates
50,40,15,0.2719,3
60,50,15,0.2707,3
70,50,15,0.2965,3
70,60,15,0.2718,3
80,60,15,0.2708,3
80,70,15,0.2958,3
90,50,15,0.3696,3
90,60,15,0.3078,3
90,70,15,0.3028,3
90,80,15,0.2708,3
100,60,15,0.2442,3
100,70,15,0.299,3
100,80,15,0.1651,3
100,90,15,0.1421,3
110,60,15,0.3622,3
110,70,15,0.2603,3
110,80,15,0.2948,3
110,90,15,0.1901,3
110,100,15,0.1863,3
120,70,15,0.3659,3
120,80,15,0.2602,3
120,90,15,0.3019,3
120,100,15,0.2943,3
130,90,15,0.2575,3
130,100,15,0.3187,3
140,90,15,0.3382,3
140,100,15,0.2684,3
150,100,15,0.3131,3
50,30,10,0.0728,2
50,30,15,0.3956,2
50,40,10,0.2962,2
60,30,15,0.0046,2
60,40,10,0.0923,2
60,40,15,0.3769,2
60,50,10,0.2713,2
70,40,10,0.0775,2
70,40,15,0.3966,2
70,50,10,0.288,2
70,60,10,0.2753,2
80,50,10,0.0862,2
80,50,15,0.3958,2
80,60,10,0.2855,2
80,70,10,0.2808,2
90,50,10,0.0786,2
90,60,10,0.2452,2
90,70,10,0.2834,2
90,80,10,0.3871,2
100,40,15,0.0289,2
100,60,10,0.2719,2
100,70,10,0.2565,2
100,80,10,0.3866,2
100,90,10,0.3945,2
110,50,15,0.0233,2
110,60,10,0.1007,2
110,70,10,0.2714,2
110,80,10,0.3407,2
110,90,10,0.3756,2
110,100,10,0.3884,2
120,70,10,0.2266,2
120,80,10,0.2387,2
120,90,10,0.2627,2
120,100,10,0.3228,2
130,70,10,0.0791,2
130,70,15,0.3933,2
130,80,10,0.2408,2
130,80,15,0.3043,2
130,90,10,0.2748,2
130,100,10,0.2656,2
140,50,15,0.0101,2
140,80,10,0.2482,2
140,80,15,0.3654,2
140,90,10,0.2463,2
140,100,10,0.2942,2
150,70,15,0.0174,2
150,80,10,0.067,2
150,80,15,0.3948,2
150,90,10,0.1746,2
150,90,15,0.3575,2
150,100,10,0.2487,2
50,10,0,0.0487,1
50,10,5,0.0559,1
50,10,10,0.0026,1
50,10,15,0.0022,1
50,20,5,0.0193,1
50,20,10,0.1927,1
50,20,15,0.0414,1
50,30,0,0.1994,1
50,30,5,0.1243,1
50,40,0,0.0436,1
60,10,0,0.0622,1
60,10,5,0.1786,1
60,10,10,0.1728,1
60,10,15,0.1805,1
60,20,10,0.0059,1
60,20,15,0.1755,1
60,30,0,0.0001,1
60,30,5,0.0516,1
60,30,10,0.0331,1
60,40,0,0.1928,1
60,40,5,0.0688,1
60,50,0,0.1185,1
60,50,5,0.0024,1
70,20,10,0.0896,1
70,20,15,0.1943,1
70,30,0,0.0037,1
70,30,5,0.0518,1
70,30,10,0.0397,1
70,30,15,0.0024,1
70,40,0,0.2,1
70,40,5,0.1224,1
70,50,0,0.0424,1
70,60,0,0.1358,1
70,60,5,0.0033,1
80,30,5,0.0038,1
80,30,10,0.1799,1
80,30,15,0.0023,1
80,40,0,0.0088,1
80,40,5,0.0989,1
80,40,10,0.1701,1
80,40,15,0.0041,1
80,50,0,0.1799,1
80,50,5,0.0379,1
80,60,0,0.0448,1
80,60,5,0.0004,1
80,70,0,0.1281,1
80,70,5,0.0038,1
90,30,10,0.0625,1
90,30,15,0.1885,1
90,40,0,0.0533,1
90,40,5,0.0951,1
90,40,10,0.0582,1
90,40,15,0.0146,1
90,50,0,0.1928,1
90,50,5,0.1107,1
90,60,0,0.1718,1
90,70,0,0.1224,1
90,70,5,0.0024,1
90,80,0,0.0084,1
90,80,5,0.0072,1
100,30,10,0.1006,1
100,30,15,0.1128,1
100,40,0,0.0951,1
100,40,5,0.077,1
100,40,10,0.1128,1
100,50,0,0.1126,1
100,50,5,0.0574,1
100,50,10,0.1016,1
100,50,15,0.0107,1
100,60,0,0.1928,1
100,60,5,0.0001,1
100,70,0,0.0812,1
100,70,5,0.0028,1
100,80,0,0.0194,1
100,80,5,0.0146,1
100,90,5,0.0337,1
110,20,5,0.0063,1
110,30,10,0.0446,1
110,30,15,0.1668,1
110,40,0,0.0015,1
110,40,5,0.0055,1
110,40,10,0.1965,1
110,40,15,0.0091,1
110,50,0,0.1205,1
110,50,5,0.0896,1
110,50,10,0.1016,1
110,60,0,0.1978,1
110,60,5,0.1281,1
110,70,0,0.1718,1
110,80,0,0.1053,1
110,80,5,0.0054,1
110,90,0,0.1205,1
110,90,5,0.0055,1
110,100,0,0.0108,1
110,100,5,0.0634,1
120,20,0,0.1728,1
120,20,5,0.1789,1
120,20,10,0.159,1
120,20,15,0.0918,1
120,40,10,0.0516,1
120,40,15,0.1916,1
120,50,0,0.0028,1
120,50,5,0.0989,1
120,50,10,0.0627,1
120,50,15,0.0255,1
120,60,0,0.0786,1
120,60,5,0.0486,1
120,60,10,0.0979,1
120,60,15,0.0176,1
120,70,0,0.1816,1
120,70,5,0.0915,1
120,80,0,0.0509,1
120,90,0,0.1224,1
120,90,5,0.0045,1
120,100,0,0.1016,1
120,100,5,0.0056,1
130,20,0,0.1871,1
130,20,5,0.1879,1
130,20,10,0.1103,1
130,20,15,0.122,1
130,30,15,0.01,1
130,40,10,0.0446,1
130,40,15,0.0448,1
130,50,0,0.0005,1
130,50,5,0.0535,1
