fiss,k,leap,score,dates
120,20,10,0.3641,3
120,20,0,0.2833,3
100,20,0,0.259,3
130,20,15,0.2463,3
100,20,10,0.2411,3
120,20,15,0.2056,3
100,20,5,0.1625,3
110,20,0,0.1488,3
130,20,5,0.1051,3
140,30,5,0.0873,3
110,20,5,0.0861,3
150,30,0,0.0535,3
110,20,10,0.052,3
150,30,5,0.0366,3
90,20,0,0.0324,3
150,30,15,0.0322,3
150,30,10,0.024,3
50,10,0,0.0085,2
60,10,10,0.0011,2
60,10,15,0.0071,2
80,20,0,0.1413,2
80,20,5,0.1549,2
90,20,5,0.017,2
90,20,10,0.1618,2
100,20,15,0.0529,2
120,20,5,0.0749,2
130,30,5,0.1621,2
140,30,0,0.0035,2
50,10,5,0.006,1
50,10,10,0.0025,1
50,10,15,0.161,1
60,10,5,0.0007,1
60,20,0,0.0864,1
60,20,5,0.0338,1
70,20,0,0.1634,1
70,20,5,0.074,1
80,20,10,0.0993,1
80,30,0,0.0011,1
90,20,15,0.0587,1
90,30,0,0.0864,1
90,30,5,0.0801,1
100,30,0,0.1635,1
100,30,5,0.0708,1
100,40,0,0.0071,1
110,20,15,0.0033,1
110,30,0,0.007,1
110,30,5,0.0031,1
120,30,0,0.0695,1
120,30,5,0.0448,1
130,20,0,0.073,1
130,20,10,0.1053,1
130,30,0,0.0403,1
130,30,10,0.004,1
130,40,0,0.0015,1
130,40,5,0.0021,1
140,30,10,0.163,1
140,40,0,0.0228,1
140,40,5,0.025,1
150,40,0,0.0652,1
150,40,5,0.0201,1
150,50,0,0.0245,1
150,50,5,0.005,1
50,20,0,0,0
50,20,5,0,0
50,20,10,0,0
50,20,15,0,0
50,30,0,0,0
50,30,5,0,0
50,30,10,0,0
50,30,15,0,0
50,40,0,0,0
50,40,5,0,0
50,40,10,0,0
50,40,15,0,0
60,10,0,0,0
60,20,10,0,0
60,20,15,0,0
60,30,0,0,0
60,30,5,0,0
60,30,10,0,0
60,30,15,0,0
60,40,0,0,0
60,40,5,0,0
60,40,10,0,0
60,40,15,0,0
60,50,0,0,0
60,50,5,0,0
60,50,10,0,0
60,50,15,0,0
70,10,0,0,0
70,10,5,0,0
70,10,10,0,0
70,10,15,0,0
70,20,10,0,0
70,20,15,0,0
70,30,0,0,0
70,30,5,0,0
70,30,10,0,0
70,30,15,0,0
70,40,0,0,0
70,40,5,0,0
70,40,10,0,0
70,40,15,0,0
70,50,0,0,0
70,50,5,0,0
70,50,10,0,0
70,50,15,0,0
70,60,0,0,0
70,60,5,0,0
70,60,10,0,0
70,60,15,0,0
80,10,0,0,0
80,10,5,0,0
80,10,10,0,0
80,10,15,0,0
80,20,15,0,0
80,30,5,0,0
80,30,10,0,0
80,30,15,0,0
80,40,0,0,0
80,40,5,0,0
80,40,10,0,0
80,40,15,0,0
80,50,0,0,0
80,50,5,0,0
80,50,10,0,0
80,50,15,0,0
80,60,0,0,0
80,60,5,0,0
80,60,10,0,0
80,60,15,0,0
80,70,0,0,0
80,70,5,0,0
80,70,10,0,0
80,70,15,0,0
90,10,0,0,0
90,10,5,0,0
90,10,10,0,0
90,10,15,0,0
90,30,10,0,0
90,30,15,0,0
90,40,0,0,0
90,40,5,0,0
90,40,10,0,0
90,40,15,0,0
90,50,0,0,0
90,50,5,0,0
90,50,10,0,0
90,50,15,0,0
90,60,0,0,0
90,60,5,0,0
90,60,10,0,0
90,60,15,0,0
90,70,0,0,0
90,70,5,0,0
90,70,10,0,0
90,70,15,0,0
90,80,0,0,0
90,80,5,0,0
90,80,10,0,0
90,80,15,0,0
100,10,0,0,0
100,10,5,0,0
100,10,10,0,0
100,10,15,0,0
100,30,10,0,0
100,30,15,0,0
100,40,5,0,0
100,40,10,0,0
100,40,15,0,0
100,50,0,0,0
100,50,5,0,0
100,50,10,0,0
100,50,15,0,0
100,60,0,0,0
100,60,5,0,0
100,60,10,0,0
100,60,15,0,0
100,70,0,0,0
100,70,5,0,0
100,70,10,0,0
100,70,15,0,0
100,80,0,0,0
100,80,5,0,0
100,80,10,0,0
100,80,15,0,0
100,90,0,0,0
100,90,5,0,0
100,90,10,0,0
100,90,15,0,0
110,10,0,0,0
110,10,5,0,0
110,10,10,0,0
110,10,15,0,0
110,30,10,0,0
110,30,15,0,0
110,40,0,0,0
110,40,5,0,0
110,40,10,0,0
110,40,15,0,0
110,50,0,0,0
110,50,5,0,0
110,50,10,0,0
110,50,15,0,0
110,60,0,0,0
110,60,5,0,0
110,60,10,0,0
110,60,15,0,0
110,70,0,0,0
110,70,5,0,0
110,70,10,0,0
110,70,15,0,0
110,80,0,0,0
110,80,5,0,0
110,80,10,0,0
110,80,15,0,0
110,90,0,0,0
110,90,5,0,0
110,90,10,0,0
110,90,15,0,0
110,100,0,0,0
110,100,5,0,0
110,100,10,0,0
110,100,15,0,0
120,10,0,0,0
120,10,5,0,0
120,10,10,0,0
120,10,15,0,0
120,30,10,0,0
120,30,15,0,0
120,40,0,0,0
120,40,5,0,0
120,40,10,0,0
120,40,15,0,0
