veg,fiss,r,k,leap,score,dates
-1.0,50,0.02,10,0,0.0176,1
-1.0,50,0.02,10,5,0.0601,1
-1.0,50,0.02,10,10,0.0011,1
-1.0,50,0.02,10,15,0.0,0
-1.0,50,0.03,10,0,0.0,0
-1.0,50,0.03,10,5,0.0,0
-1.0,50,0.03,10,10,0.0,0
-1.0,50,0.03,10,15,0.0,0
-1.0,50,0.04,10,0,0.0,0
-1.0,50,0.04,10,5,0.0,0
-1.0,50,0.04,10,10,0.0,0
-1.0,50,0.04,10,15,0.0,0
-1.0,100,0.02,10,0,0.0,0
-1.0,100,0.02,10,5,0.0,0
-1.0,100,0.02,10,10,0.0,0
-1.0,100,0.02,10,15,0.0,0
-1.0,100,0.02,50,0,0.0,0
-1.0,100,0.02,50,5,0.0,0
-1.0,100,0.02,50,10,0.0,0
-1.0,100,0.02,50,15,0.0,0
-1.0,100,0.03,10,0,0.0,0
-1.0,100,0.03,10,5,0.0,0
-1.0,100,0.03,10,10,0.0,0
-1.0,100,0.03,10,15,0.0,0
-1.0,100,0.03,50,0,0.0,0
-1.0,100,0.03,50,5,0.0,0
-1.0,100,0.03,50,10,0.0,0
-1.0,100,0.03,50,15,0.0,0
-1.0,100,0.04,10,0,0.0,0
-1.0,100,0.04,10,5,0.0,0
-1.0,100,0.04,10,10,0.0,0
-1.0,100,0.04,10,15,0.0,0
-1.0,100,0.04,50,0,0.0,0
-1.0,100,0.04,50,5,0.0,0
-1.0,100,0.04,50,10,0.0,0
-1.0,100,0.04,50,15,0.0,0
-1.0,150,0.02,10,0,0.0,0
-1.0,150,0.02,10,5,0.0,0
-1.0,150,0.02,10,10,0.0,0
-1.0,150,0.02,10,15,0.0,0
-1.0,150,0.02,50,0,0.0884,1
-1.0,150,0.02,50,5,0.0847,1
-1.0,150,0.02,50,10,0.0038,1
-1.0,150,0.02,50,15,0.0,0
-1.0,150,0.02,100,0,0.0,0
-1.0,150,0.02,100,5,0.0,0
-1.0,150,0.02,100,10,0.0,0
-1.0,150,0.02,100,15,0.0,0
-1.0,150,0.03,10,0,0.0,0
-1.0,150,0.03,10,5,0.0,0
-1.0,150,0.03,10,10,0.0,0
-1.0,150,0.03,10,15,0.0,0
-1.0,150,0.03,50,0,0.0,0
-1.0,150,0.03,50,5,0.0,0
-1.0,150,0.03,50,10,0.0,0
-1.0,150,0.03,50,15,0.0,0
-1.0,150,0.03,100,0,0.0,0
-1.0,150,0.03,100,5,0.0,0
-1.0,150,0.03,100,10,0.0,0
-1.0,150,0.03,100,15,0.0,0
-1.0,150,0.04,10,0,0.0,0
-1.0,150,0.04,10,5,0.0,0
-1.0,150,0.04,10,10,0.0,0
-1.0,150,0.04,10,15,0.0,0
-1.0,150,0.04,50,0,0.0,0
-1.0,150,0.04,50,5,0.0,0
-1.0,150,0.04,50,10,0.0,0
-1.0,150,0.04,50,15,0.0,0
-1.0,150,0.04,100,0,0.0,0
-1.0,150,0.04,100,5,0.0,0
-1.0,150,0.04,100,10,0.0,0
-1.0,150,0.04,100,15,0.0,0
0.4,50,0.02,10,0,0.2025,2
0.4,50,0.02,10,5,0.2227,3
0.4,50,0.02,10,10,0.2495,2
0.4,50,0.02,10,15,0.1695,3
0.4,50,0.03,10,0,0.0,0
0.4,50,0.03,10,5,0.0,0
0.4,50,0.03,10,10,0.0,0
0.4,50,0.03,10,15,0.1237,1
0.4,50,0.04,10,0,0.1198,1
0.4,50,0.04,10,5,0.1213,1
0.4,50,0.04,10,10,0.0526,1
0.4,50,0.04,10,15,0.0,0
0.4,100,0.02,10,0,0.0,0
0.4,100,0.02,10,5,0.0,0
0.4,100,0.02,10,10,0.0,0
0.4,100,0.02,10,15,0.0,0
0.4,100,0.02,50,0,0.0,0
0.4,100,0.02,50,5,0.0,0
0.4,100,0.02,50,10,0.0778,1
0.4,100,0.02,50,15,0.0102,1
0.4,100,0.03,10,0,0.0,0
0.4,100,0.03,10,5,0.0,0
0.4,100,0.03,10,10,0.0,0
0.4,100,0.03,10,15,0.0,0
0.4,100,0.03,50,0,0.0932,1
0.4,100,0.03,50,5,0.0359,1
0.4,100,0.03,50,10,0.0,0
0.4,100,0.03,50,15,0.0,0
0.4,100,0.04,10,0,0.0,0
0.4,100,0.04,10,5,0.0,0
0.4,100,0.04,10,10,0.0,0
0.4,100,0.04,10,15,0.0,0
0.4,100,0.04,50,0,0.0,0
0.4,100,0.04,50,5,0.0,0
0.4,100,0.04,50,10,0.0,0
0.4,100,0.04,50,15,0.0,0
0.4,150,0.02,10,0,0.0,0
0.4,150,0.02,10,5,0.0,0
0.4,150,0.02,10,10,0.0,0
0.4,150,0.02,10,15,0.0,0
0.4,150,0.02,50,0,0.0,0
0.4,150,0.02,50,5,0.0,0
0.4,150,0.02,50,10,0.0,0
0.4,150,0.02,50,15,0.0458,1
0.4,150,0.02,100,0,0.0,0
0.4,150,0.02,100,5,0.0359,1
0.4,150,0.02,100,10,0.0,0
0.4,150,0.02,100,15,0.0,0
0.4,150,0.03,10,0,0.0,0
0.4,150,0.03,10,5,0.0,0
0.4,150,0.03,10,10,0.0,0
0.4,150,0.03,10,15,0.0,0
0.4,150,0.03,50,0,0.0808,1
0.4,150,0.03,50,5,0.0748,1
0.4,150,0.03,50,10,0.0159,1
0.4,150,0.03,50,15,0.0,0
0.4,150,0.03,100,0,0.0,0
0.4,150,0.03,100,5,0.0,0
0.4,150,0.03,100,10,0.0,0
0.4,150,0.03,100,15,0.0,0
0.4,150,0.04,10,0,0.0,0
0.4,150,0.04,10,5,0.0,0
0.4,150,0.04,10,10,0.0,0
0.4,150,0.04,10,15,0.0,0
0.4,150,0.04,50,0,0.009,1
0.4,150,0.04,50,5,0.0003,1
0.4,150,0.04,50,10,0.0,0
0.4,150,0.04,50,15,0.0,0
0.4,150,0.04,100,0,0.0,0
0.4,150,0.04,100,5,0.0,0
0.4,150,0.04,100,10,0.0,0
0.4,150,0.04,100,15,0.0,0
0.5,50,0.02,10,0,0.0509,1
0.5,50,0.02,10,5,0.0031,1
0.5,50,0.02,10,10,0.003,1
0.5,50,0.02,10,15,0.0014,1
0.5,50,0.03,10,0,0.0002,1
0.5,50,0.03,10,5,0.0004,1
0.5,50,0.03,10,10,0.0512,1
0.5,50,0.03,10,15,0.0963,2
0.5,50,0.04,10,0,0.0159,2
0.5,50,0.04,10,5,0.1516,2
0.5,50,0.04,10,10,0.0192,2
0.5,50,0.04,10,15,0.0208,2
0.5,100,0.02,10,0,0.0,0
0.5,100,0.02,10,5,0.0,0
0.5,100,0.02,10,10,0.0,0
0.5,100,0.02,10,15,0.0,0
0.5,100,0.02,50,0,0.0011,1
0.5,100,0.02,50,5,0.0444,1
