veg,fiss,r,k,leap,perm,score,dates
0.4,100,0.03,50,5,30,0.3683,5
-1,100,0.02,50,10,30,0.1713,4
-1,150,0.02,50,10,10,0.1529,4
0.4,100,0.02,50,10,30,0.1377,4
0.4,150,0.02,50,5,10,0.1253,4
-1,100,0.03,50,5,30,0.1189,4
0.4,50,0.04,10,0,30,0.0755,4
0.4,150,0.02,50,10,10,0.0505,4
0.4,150,0.02,50,10,30,0.2425,3
0.4,50,0.03,10,0,10,0.2084,3
0.6,150,0.03,100,15,30,0.1793,3
0.5,50,0.04,10,0,10,0.1678,3
0.5,150,0.02,50,15,10,0.1502,3
0.4,150,0.04,50,0,30,0.1436,3
0.4,100,0.02,50,0,10,0.1282,3
0.4,50,0.03,10,5,10,0.1056,3
0.4,150,0.02,50,0,10,0.1025,3
0.4,50,0.04,10,5,30,0.0962,3
0.5,50,0.03,10,15,10,0.096,3
-1,50,0.04,10,5,30,0.0927,3
0.4,100,0.02,50,5,10,0.0896,3
0.5,50,0.03,10,15,30,0.0773,3
0.4,150,0.02,100,5,30,0.0722,3
0.4,50,0.03,10,10,30,0.0713,3
0.5,100,0.04,50,10,10,0.0446,3
0.6,100,0.04,50,15,30,0.036,3
0.4,150,0.03,50,5,30,0.0301,3
-1,150,0.02,100,5,30,0.0187,3
0.5,150,0.04,50,15,10,0.0169,3
0.5,100,0.03,50,15,10,0.0164,3
0.5,150,0.03,50,5,10,0.0142,3
-1,50,0.03,10,0,10,0.2464,2
-1,50,0.03,10,5,10,0.2441,2
-1,50,0.03,10,10,10,0.1021,2
-1,50,0.03,10,10,30,0.032,2
-1,50,0.03,10,15,30,0.1188,2
-1,50,0.04,10,0,30,0.1203,2
-1,50,0.04,10,15,10,0.0232,2
-1,100,0.02,50,0,10,0.1177,2
-1,100,0.02,50,0,30,0.0952,2
-1,100,0.02,50,5,10,0.1456,2
-1,100,0.03,50,0,30,0.1302,2
-1,100,0.04,50,0,30,0.1173,2
-1,150,0.02,50,0,10,0.0394,2
-1,150,0.02,50,5,10,0.0514,2
-1,150,0.02,50,10,30,0.2159,2
-1,150,0.02,50,15,10,0.1329,2
-1,150,0.02,50,15,30,0.1527,2
-1,150,0.02,100,0,30,0.0308,2
-1,150,0.03,50,0,30,0.1376,2
-1,150,0.03,50,5,30,0.0994,2
-1,150,0.03,50,15,10,0.0807,2
-1,150,0.03,50,15,30,0.0019,2
-1,150,0.03,100,0,10,0.011,2
-1,150,0.04,50,0,10,0.0196,2
-1,150,0.04,50,0,30,0.1647,2
0.4,50,0.02,10,0,10,0.097,2
0.4,50,0.02,10,0,30,0.2071,2
0.4,50,0.02,10,5,30,0.0427,2
0.4,50,0.02,10,10,30,0.0977,2
0.4,50,0.02,10,15,10,0.0548,2
0.4,50,0.03,10,10,10,0.1915,2
0.4,50,0.03,10,15,30,0.1337,2
0.4,50,0.04,10,10,30,0.126,2
0.4,100,0.03,50,10,10,0.0717,2
0.4,100,0.03,50,15,30,0.1175,2
0.4,100,0.04,50,0,10,0.0156,2
0.4,100,0.04,50,0,30,0.1258,2
0.4,100,0.04,50,5,10,0.0749,2
0.4,150,0.02,50,15,10,0.0676,2
0.4,150,0.02,50,15,30,0.0832,2
0.4,150,0.02,100,10,10,0.115,2
0.4,150,0.02,100,15,30,0.1241,2
0.4,150,0.03,50,15,10,0.019,2
0.4,150,0.03,100,0,30,0.0518,2
0.4,150,0.04,50,10,30,0.0174,2
0.5,50,0.03,10,0,10,0.0028,2
0.5,50,0.04,10,5,10,0.1735,2
0.5,50,0.04,10,5,30,0.0495,2
0.5,50,0.04,10,10,10,0.2377,2
0.5,50,0.04,10,10,30,0.0222,2
0.5,50,0.04,10,15,30,0.0897,2
0.5,100,0.02,50,0,10,0.0123,2
0.5,100,0.02,50,10,10,0.0549,2
0.5,100,0.03,50,5,10,0.1862,2
0.5,100,0.03,50,10,10,0.0216,2
0.5,100,0.03,50,10,30,0.0698,2
0.5,100,0.04,50,5,10,0.0237,2
0.5,100,0.04,50,5,30,0.1017,2
0.5,100,0.04,50,15,30,0.1186,2
0.5,150,0.02,50,5,10,0.0903,2
0.5,150,0.02,50,10,10,0.0162,2
0.5,150,0.02,100,0,10,0.1236,2
0.5,150,0.02,100,5,30,0.1052,2
0.5,150,0.02,100,10,30,0.0722,2
0.5,150,0.02,100,15,10,0.104,2
0.5,150,0.03,50,0,10,0.1056,2
0.5,150,0.03,50,5,30,0.0831,2
0.5,150,0.03,50,10,10,0.0981,2
0.5,150,0.03,50,10,30,0.032,2
0.5,150,0.03,100,0,10,0.0939,2
0.5,150,0.03,100,5,10,0.0256,2
0.5,150,0.03,100,10,10,0.1282,2
0.5,150,0.03,100,10,30,0.0079,2
0.5,150,0.04,50,0,10,0.1198,2
0.5,150,0.04,50,10,10,0.0143,2
0.5,150,0.04,50,15,30,0.017,2
0.5,150,0.04,100,0,10,0.0212,2
0.5,150,0.04,100,0,30,0.1322,2
0.5,150,0.04,100,5,10,0.0139,2
0.5,150,0.04,100,5,30,0.0104,2
0.6,100,0.04,50,10,10,0.1081,2
0.6,150,0.03,100,10,10,0.2099,2
0.6,150,0.03,100,15,10,0.0603,2
0.6,150,0.04,50,15,10,0.1144,2
0.6,150,0.04,50,15,30,0.1118,2
0.6,150,0.04,100,10,10,0.067,2
-1,50,0.02,10,0,10,0.0927,1
-1,50,0.02,10,0,30,0.0335,1
-1,50,0.02,10,5,10,0.0638,1
-1,50,0.02,10,5,30,0.0765,1
-1,50,0.02,10,10,10,0.0479,1
-1,50,0.02,10,10,30,0.002,1
-1,50,0.02,10,15,10,0.1098,1
-1,50,0.02,10,15,30,0.0044,1
-1,50,0.03,10,0,30,0.0437,1
-1,50,0.03,10,15,10,0.0642,1
-1,50,0.04,10,0,10,0.0187,1
-1,50,0.04,10,5,10,0.0077,1
-1,50,0.04,10,10,10,0.0034,1
-1,50,0.04,10,10,30,0.0902,1
-1,50,0.04,10,15,30,0.0229,1
-1,100,0.02,50,5,30,0.0001,1
-1,100,0.02,50,10,10,0.1006,1
-1,100,0.02,50,15,10,0.0177,1
-1,100,0.02,50,15,30,0.0871,1
-1,100,0.03,50,0,10,0.0247,1
-1,100,0.03,50,5,10,0.0168,1
-1,100,0.03,50,10,10,0.0708,1
-1,100,0.03,50,10,30,0.0179,1
-1,100,0.03,50,15,10,0.0866,1
-1,100,0.03,50,15,30,0.1248,1
-1,100,0.04,50,0,10,0.0768,1
