veg,max,fiss,r,k,leap,perm,score
0.4,0,50,0.02,10,15,10,424
0,0,150,0.02,100,0,30,462
0,0,100,0.02,50,0,20,473
0,0,150,0.02,50,5,20,477
0,0,100,0.02,50,5,30,482
0,0,150,0.02,50,0,20,483
0,0,100,0.02,50,5,20,490
0,0,100,0.03,50,0,30,499
0,0,150,0.03,50,0,30,500
0,0,100,0.02,50,0,30,516
0.4,0,150,0.02,50,0,10,527
0.4,0,150,0.02,50,5,10,533
0.4,0,150,0.02,100,5,30,544
0,0,150,0.02,50,5,30,545
0,0,50,0.02,10,15,10,551
0,0,50,0.03,10,5,30,551
0,0,150,0.02,100,0,20,557
0,0,150,0.03,100,0,30,557
0,0,150,0.02,50,0,30,559
0,0,150,0.03,50,5,30,559
0,0,50,0.03,10,0,30,579
0,0,50,0.03,10,5,20,594
0.4,0,50,0.02,10,15,30,598
0,0,50,0.02,10,15,20,599
0.4,0,100,0.02,50,0,10,599
0,0,50,0.03,10,0,20,602
0,0,150,0.02,50,0,10,602
0,0,150,0.02,50,5,10,606
0.4,0,100,0.03,50,5,30,606
0,0,50,0.04,10,0,30,611
0.4,0,50,0.03,10,5,20,636
0.4,0,50,0.02,10,15,20,637
0.4,0,50,0.04,10,5,30,638
0.4,0,50,0.04,10,0,30,639
0.4,0,100,0.02,50,5,10,639
0,0,50,0.02,10,5,10,640
0,0,50,0.04,10,5,30,643
0.4,0,150,0.02,50,15,30,643
0,0,50,0.02,10,15,30,645
0.4,0,50,0.03,10,0,20,647
0,0,150,0.02,100,5,30,649
0.4,0,100,0.02,50,5,20,655
0.4,0,50,0.04,10,5,20,657
0.4,0,150,0.02,100,0,20,660
0.4,0,150,0.03,50,5,30,660
0,0,50,0.02,10,0,10,661
0,0,100,0.03,50,5,30,665
0.4,0,50,0.03,10,0,10,665
0.4,0,150,0.03,50,0,20,666
0.4,0,150,0.02,50,15,20,668
0.4,0,50,0.03,10,5,10,671
0.4,0,150,0.03,100,0,30,673
0.4,0,50,0.03,10,15,30,674
0.4,0,150,0.04,50,0,30,677
0.4,0,50,0.04,10,0,20,682
0.4,0,100,0.03,50,0,30,685
0.4,0,150,0.02,100,5,20,685
0.4,0,150,0.02,100,0,30,699
0,0,50,0.02,10,5,20,701
0.4,0,100,0.02,50,0,20,709
0.4,0,150,0.03,50,5,20,715
0.4,0,150,0.02,50,0,20,722
0.4,0,100,0.04,50,0,30,723
0.4,0,150,0.03,50,0,30,724
0,0,50,0.02,10,0,20,727
0.4,0,50,0.03,10,15,20,732
0,0,150,0.02,50,15,30,737
0,0,150,0.02,50,15,20,746
0.4,0,100,0.02,50,5,30,747
0.4,0,150,0.02,50,5,20,749
0,0,100,0.02,50,0,10,753
0.4,0,100,0.03,50,0,20,764
0.4,0,150,0.04,50,0,20,777
0,0,50,0.04,10,0,20,783
0,0,100,0.02,50,5,10,789
0,0,50,0.03,10,15,30,790
0,0,50,0.04,10,5,20,798
0,0,150,0.02,100,5,20,802
0.4,0,150,0.04,50,5,30,802
0.4,0,100,0.02,50,0,30,803
0,0,150,0.03,50,0,20,809
0.4,0,50,0.03,10,5,30,811
0,0,150,0.02,50,15,10,812
0,0,150,0.04,50,0,30,814
0.4,0,150,0.02,50,5,30,823
0,0,50,0.02,10,0,30,824
0.4,0,50,0.02,10,5,10,824
0,0,50,0.03,10,15,20,826
0,0,50,0.03,10,5,10,828
0,0,50,0.03,10,0,10,835
0.4,0,150,0.02,50,15,10,835
0,0,150,0.03,50,5,20,836
0.4,0,100,0.04,50,0,20,849
0.4,0,100,0.03,50,5,20,850
0,0,50,0.02,10,5,30,861
0,0,100,0.04,50,0,30,861
0.4,0,50,0.02,10,0,10,868
0.4,0,50,0.03,10,15,10,870
0.4,0,150,0.02,50,0,30,872
0.4,0,150,0.04,100,0,30,874
0.4,0,50,0.03,10,0,30,892
0.4,0,150,0.02,100,0,10,892
0,0,100,0.03,50,0,20,908
0.4,0,150,0.04,50,5,20,922
0.4,0,150,0.03,100,0,20,928
0.4,0,150,0.04,100,0,20,936
0.4,0,150,0.03,50,0,10,940
0.4,0,150,0.03,100,5,30,945
0,0,150,0.04,50,0,20,957
0,0,50,0.03,10,15,10,959
0,0,150,0.04,50,5,30,960
0.4,0,50,0.02,10,5,20,966
0.4,0,100,0.04,50,5,30,972
0,0,100,0.03,50,5,20,994
0,0,100,0.04,50,0,20,1001
0.4,0,100,0.02,50,15,30,1001
0.4,0,150,0.03,50,5,10,1005
0.4,0,50,0.04,10,0,10,1010
0,0,150,0.02,100,0,10,1023
0,0,100,0.02,50,15,30,1039
0.4,0,50,0.04,10,5,10,1039
0,0,150,0.04,100,0,30,1040
0.4,0,100,0.02,50,15,20,1057
0,0,150,0.03,50,0,10,1059
0,0,150,0.03,100,5,30,1059
0,0,100,0.04,50,5,30,1066
0,0,150,0.04,100,0,20,1068
0.4,0,50,0.02,10,0,20,1068
0,0,150,0.04,50,5,20,1069
0,0,150,0.03,100,0,20,1076
0.4,0,100,0.03,50,0,10,1090
0.4,0,50,0.02,10,0,30,1095
0.4,0,50,0.02,10,5,30,1100
0,0,150,0.03,50,5,10,1101
0,0,100,0.02,50,15,20,1103
0.4,0,150,0.02,100,5,10,1106
0.4,0,100,0.04,50,5,20,1107
0.4,0,50,0.04,10,15,30,1118
0.4,0,50,0.04,10,15,20,1132
0.4,0,100,0.03,50,5,10,1133
0,0,50,0.04,10,0,10,1172
0.4,0,150,0.03,100,5,20,1196
0,0,50,0.04,10,5,10,1198
0.4,0,100,0.02,50,15,10,1201
0,0,150,0.02,100,5,10,1204
0,0,100,0.02,50,15,10,1212
0,0,100,0.04,50,5,20,1213
0,0,50,0.04,10,15,30,1215
0,0,100,0.03,50,0,10,1222
0.4,0,150,0.03,50,15,30,1240
0.4,0,150,0.03,100,0,10,1242
0.4,0,150,0.04,50,0,10,1242
0,0,100,0.03,50,5,10,1252
0,0,50,0.04,10,15,20,1270
0,0,150,0.03,50,15,30,1274
0.4,0,150,0.04,50,5,10,1295
0.4,0,150,0.03,50,15,20,1299
0.4,0,50,0.04,10,15,10,1301
0,0,150,0.03,100,5,20,1310
0,0,50,0.04,10,15,10,1333
0.4,0,150,0.03,50,15,10,1352
0,0,150,0.03,100,0,10,1363
0,0,150,0.03,50,15,20,1376
0.4,0,100,0.04,50,0,10,1388
0,0,150,0.04,50,0,10,1398
0.4,0,150,0.04,100,5,20,1400
0,0,150,0.03,50,15,10,1416
0,0,150,0.04,50,5,10,1420
0.4,0,100,0.03,50,15,30,1425
0.4,0,100,0.04,50,5,10,1427
0.4,0,150,0.04,100,5,30,1437
0.4,0,150,0.02,100,15,30,1442
0.4,0,150,0.03,100,5,10,1443
0.4,0,150,0.04,100,0,10,1466
0.4,0,100,0.03,50,15,20,1479
0.4,0,150,0.02,100,15,20,1482
0,0,150,0.04,100,5,20,1483
0,0,100,0.04,50,0,10,1484
0,0,100,0.03,50,15,30,1495
0,0,100,0.04,50,5,10,1524
0,0,150,0.03,100,5,10,1536
0,0,150,0.04,100,5,30,1536
0.4,0,150,0.04,50,15,20,1538
0,0,150,0.02,100,15,30,1542
0.4,0,100,0.03,50,15,10,1545
0.4,0,150,0.04,50,15,30,1556
0,0,150,0.04,100,0,10,1573
0.4,0,150,0.04,50,15,10,1582
0,0,100,0.03,50,15,20,1592
0.4,0,150,0.04,100,5,10,1595
0,0,150,0.02,100,15,20,1597
0.4,0,150,0.02,100,15,10,1600
0,0,150,0.04,50,15,30,1654
0,0,100,0.03,50,15,10,1655
0,0,150,0.04,50,15,20,1663
0.4,0,100,0.04,50,15,30,1663
0,0,100,0.02,10,0,10,1674
0,0,100,0.02,10,0,20,1674
0,0,100,0.02,10,0,30,1674
0,0,100,0.02,10,5,10,1674
0,0,100,0.02,10,5,20,1674
0,0,100,0.02,10,5,30,1674
0,0,100,0.02,10,15,10,1674
0,0,100,0.02,10,15,20,1674
0,0,100,0.02,10,15,30,1674
0,0,100,0.03,10,0,10,1674
0,0,100,0.03,10,0,20,1674
0,0,100,0.03,10,0,30,1674
0,0,100,0.03,10,5,10,1674
0,0,100,0.03,10,5,20,1674
0,0,100,0.03,10,5,30,1674
0,0,100,0.03,10,15,10,1674
0,0,100,0.03,10,15,20,1674
0,0,100,0.03,10,15,30,1674
0,0,100,0.04,10,0,10,1674
0,0,100,0.04,10,0,20,1674
0,0,100,0.04,10,0,30,1674
0,0,100,0.04,10,5,10,1674
0,0,100,0.04,10,5,20,1674
0,0,100,0.04,10,5,30,1674
0,0,100,0.04,10,15,10,1674
0,0,100,0.04,10,15,20,1674
0,0,100,0.04,10,15,30,1674
0,0,150,0.02,10,0,10,1674
0,0,150,0.02,10,0,20,1674
0,0,150,0.02,10,0,30,1674
0,0,150,0.02,10,5,10,1674
0,0,150,0.02,10,5,20,1674
0,0,150,0.02,10,5,30,1674
0,0,150,0.02,10,15,10,1674
0,0,150,0.02,10,15,20,1674
0,0,150,0.02,10,15,30,1674
0,0,150,0.03,10,0,10,1674
0,0,150,0.03,10,0,20,1674
0,0,150,0.03,10,0,30,1674
0,0,150,0.03,10,5,10,1674
0,0,150,0.03,10,5,20,1674
0,0,150,0.03,10,5,30,1674
0,0,150,0.03,10,15,10,1674
0,0,150,0.03,10,15,20,1674
0,0,150,0.03,10,15,30,1674
0,0,150,0.04,10,0,10,1674
0,0,150,0.04,10,0,20,1674
0,0,150,0.04,10,0,30,1674
0,0,150,0.04,10,5,10,1674
0,0,150,0.04,10,5,20,1674
0,0,150,0.04,10,5,30,1674
0,0,150,0.04,10,15,10,1674
0,0,150,0.04,10,15,20,1674
0,0,150,0.04,10,15,30,1674
0.4,0,100,0.02,10,0,10,1674
0.4,0,100,0.02,10,0,20,1674
0.4,0,100,0.02,10,0,30,1674
0.4,0,100,0.02,10,5,10,1674
0.4,0,100,0.02,10,5,20,1674
0.4,0,100,0.02,10,5,30,1674
0.4,0,100,0.02,10,15,10,1674
0.4,0,100,0.02,10,15,20,1674
0.4,0,100,0.02,10,15,30,1674
0.4,0,100,0.03,10,0,10,1674
0.4,0,100,0.03,10,0,20,1674
0.4,0,100,0.03,10,0,30,1674
0.4,0,100,0.03,10,5,10,1674
0.4,0,100,0.03,10,5,20,1674
0.4,0,100,0.03,10,5,30,1674
0.4,0,100,0.03,10,15,10,1674
0.4,0,100,0.03,10,15,20,1674
0.4,0,100,0.03,10,15,30,1674
0.4,0,100,0.04,10,0,10,1674
0.4,0,100,0.04,10,0,20,1674
0.4,0,100,0.04,10,0,30,1674
0.4,0,100,0.04,10,5,10,1674
0.4,0,100,0.04,10,5,20,1674
0.4,0,100,0.04,10,5,30,1674
0.4,0,100,0.04,10,15,10,1674
0.4,0,100,0.04,10,15,20,1674
0.4,0,100,0.04,10,15,30,1674
0.4,0,150,0.02,10,0,10,1674
0.4,0,150,0.02,10,0,20,1674
0.4,0,150,0.02,10,0,30,1674
0.4,0,150,0.02,10,5,10,1674
0.4,0,150,0.02,10,5,20,1674
0.4,0,150,0.02,10,5,30,1674
0.4,0,150,0.02,10,15,10,1674
0.4,0,150,0.02,10,15,20,1674
0.4,0,150,0.02,10,15,30,1674
