fiss,k,leap,score,dates
50,20,5,0.1923,2
50,30,15,0.2801,2
50,40,10,0.0685,2
50,40,15,0.374,2
60,20,10,0.1967,2
60,30,0,0.1175,2
60,30,5,0.1438,2
60,40,15,0.2647,2
60,50,10,0.2134,2
60,50,15,0.3954,2
70,20,10,0.2034,2
70,30,0,0.1737,2
70,30,5,0.2151,2
70,40,15,0.2764,2
70,50,10,0.1762,2
70,50,15,0.3843,2
70,60,10,0.2048,2
70,60,15,0.3745,2
80,30,5,0.1012,2
80,40,0,0.1395,2
80,40,5,0.1888,2
80,50,15,0.277,2
80,60,10,0.0993,2
80,60,15,0.3759,2
80,70,10,0.2092,2
80,70,15,0.3131,2
90,30,10,0.1883,2
90,40,0,0.2034,2
90,40,5,0.2166,2
90,50,15,0.2851,2
90,60,10,0.0461,2
90,60,15,0.3721,2
90,70,10,0.1985,2
90,70,15,0.3449,2
90,80,10,0.2887,2
90,80,15,0.2943,2
100,40,0,0.123,2
100,60,10,0.0425,2
100,60,15,0.3694,2
100,70,10,0.2043,2
100,70,15,0.3591,2
100,80,10,0.2384,2
100,80,15,0.2708,2
100,90,10,0.2807,2
100,90,15,0.2859,2
110,40,5,0.118,2
110,50,0,0.182,2
110,60,15,0.2857,2
110,70,10,0.0379,2
110,70,15,0.3783,2
110,80,10,0.2113,2
110,80,15,0.2747,2
110,90,10,0.2544,2
110,90,15,0.2384,2
110,100,10,0.2608,2
110,100,15,0.2872,2
120,40,10,0.1756,2
120,50,0,0.1165,2
120,50,5,0.2205,2
120,70,15,0.2799,2
120,80,10,0.0416,2
120,80,15,0.3421,2
120,90,10,0.2069,2
120,90,15,0.3732,2
120,100,10,0.2501,2
120,100,15,0.3015,2
130,50,5,0.1431,2
130,60,0,0.1362,2
130,70,15,0.2678,2
130,80,10,0.0377,2
130,80,15,0.308,2
130,90,10,0.0379,2
130,90,15,0.3711,2
130,100,10,0.2069,2
130,100,15,0.3705,2
140,40,10,0.2167,2
140,50,5,0.1236,2
140,60,0,0.1337,2
140,60,5,0.2016,2
140,70,0,0.2109,2
140,80,15,0.2864,2
140,90,10,0.0447,2
140,90,15,0.3525,2
140,100,10,0.0802,2
140,100,15,0.3693,2
150,60,0,0.0989,2
150,80,15,0.2964,2
150,90,15,0.2966,2
150,100,10,0.0432,2
150,100,15,0.3821,2
50,10,0,0.1851,1
50,10,5,0.1032,1
50,10,10,0.1841,1
50,10,15,0.1847,1
50,20,0,0.1747,1
50,20,10,0.1933,1
50,20,15,0.0054,1
50,30,0,0.1978,1
50,30,5,0.1185,1
